2017-01-16 18:04:00 status unpacked libgcrypt20:amd64 1.6.3-2+deb8u2
2017-01-16 18:04:00 install libgpg-error0:amd64 <none> 1.17-3
2017-01-16 18:04:00 status half-installed libgpg-error0:amd64 1.17-3
2017-01-16 18:04:00 status unpacked libgpg-error0:amd64 1.17-3
2017-01-16 18:04:00 status unpacked libgpg-error0:amd64 1.17-3
2017-01-16 18:04:01 install liblocale-gettext-perl:amd64 <none> 1.05-8+b1
2017-01-16 18:04:01 status half-installed liblocale-gettext-perl:amd64 1.05-8+b1
2017-01-16 18:04:01 status unpacked liblocale-gettext-perl:amd64 1.05-8+b1
2017-01-16 18:04:01 status unpacked liblocale-gettext-perl:amd64 1.05-8+b1
2017-01-16 18:04:01 install libselinux1:amd64 <none> 2.3-2
2017-01-16 18:04:01 status half-installed libselinux1:amd64 2.3-2
2017-01-16 18:04:01 status unpacked libselinux1:amd64 2.3-2
2017-01-16 18:04:01 status unpacked libselinux1:amd64 2.3-2
2017-01-16 18:04:02 install libsemanage-common:all <none> 2.3-1
2017-01-16 18:04:02 status half-installed libsemanage-common:all 2.3-1
2017-01-16 18:04:02 status unpacked libsemanage-common:all 2.3-1
2017-01-16 18:04:02 status unpacked libsemanage-common:all 2.3-1
2017-01-16 18:04:02 install libsemanage1:amd64 <none> 2.3-1+b1
2017-01-16 18:04:02 status half-installed libsemanage1:amd64 2.3-1+b1
2017-01-16 18:04:02 status unpacked libsemanage1:amd64 2.3-1+b1
2017-01-16 18:04:02 status unpacked libsemanage1:amd64 2.3-1+b1
2017-01-16 18:04:03 install libsepol1:amd64 <none> 2.3-2
2017-01-16 18:04:03 status half-installed libsepol1:amd64 2.3-2
2017-01-16 18:04:03 status unpacked libsepol1:amd64 2.3-2
2017-01-16 18:04:03 status unpacked libsepol1:amd64 2.3-2
2017-01-16 18:04:03 install libtext-charwidth-perl:amd64 <none> 0.04-7+b3
2017-01-16 18:04:03 status half-installed libtext-charwidth-perl:amd64 0.04-7+b3
2017-01-16 18:04:03 status unpacked libtext-charwidth-perl:amd64 0.04-7+b3
2017-01-16 18:04:03 status unpacked libtext-charwidth-perl:amd64 0.04-7+b3
2017-01-16 18:04:03 install libtext-iconv-perl:amd64 <none> 1.7-5+b2
2017-01-16 18:04:03 status half-installed libtext-iconv-perl:amd64 1.7-5+b2
2017-01-16 18:04:04 status unpacked libtext-iconv-perl:amd64 1.7-5+b2
2017-01-16 18:04:04 status unpacked libtext-iconv-perl:amd64 1.7-5+b2
2017-01-16 18:04:04 install libtext-wrapi18n-perl:all <none> 0.06-7
2017-01-16 18:04:04 status half-installed libtext-wrapi18n-perl:all 0.06-7
2017-01-16 18:04:04 status unpacked libtext-wrapi18n-perl:all 0.06-7
2017-01-16 18:04:04 status unpacked libtext-wrapi18n-perl:all 0.06-7
2017-01-16 18:04:04 install lsb-base:all <none> 4.1+Debian13+nmu1
2017-01-16 18:04:04 status half-installed lsb-base:all 4.1+Debian13+nmu1
2017-01-16 18:04:05 status unpacked lsb-base:all 4.1+Debian13+nmu1
2017-01-16 18:04:05 status unpacked lsb-base:all 4.1+Debian13+nmu1
2017-01-16 18:04:05 install dmsetup:amd64 <none> 2:1.02.90-2.2+deb8u1
2017-01-16 18:04:05 status half-installed dmsetup:amd64 2:1.02.90-2.2+deb8u1
2017-01-16 18:04:05 status unpacked dmsetup:amd64 2:1.02.90-2.2+deb8u1
2017-01-16 18:04:05 status unpacked dmsetup:amd64 2:1.02.90-2.2+deb8u1
2017-01-16 18:04:06 install libdevmapper1.02.1:amd64 <none> 2:1.02.90-2.2+deb8u1
2017-01-16 18:04:06 status half-installed libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2017-01-16 18:04:06 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2017-01-16 18:04:06 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2017-01-16 18:04:06 upgrade mawk:amd64 1.3.3-17 1.3.3-17
2017-01-16 18:04:06 status half-configured mawk:amd64 1.3.3-17
2017-01-16 18:04:06 status unpacked mawk:amd64 1.3.3-17
2017-01-16 18:04:06 status half-installed mawk:amd64 1.3.3-17
2017-01-16 18:04:07 status half-installed mawk:amd64 1.3.3-17
2017-01-16 18:04:07 status unpacked mawk:amd64 1.3.3-17
2017-01-16 18:04:07 status unpacked mawk:amd64 1.3.3-17
2017-01-16 18:04:07 install libncurses5:amd64 <none> 5.9+20140913-1+b1
2017-01-16 18:04:07 status half-installed libncurses5:amd64 5.9+20140913-1+b1
2017-01-16 18:04:08 status unpacked libncurses5:amd64 5.9+20140913-1+b1
2017-01-16 18:04:08 status unpacked libncurses5:amd64 5.9+20140913-1+b1
2017-01-16 18:04:08 install libncursesw5:amd64 <none> 5.9+20140913-1+b1
2017-01-16 18:04:08 status half-installed libncursesw5:amd64 5.9+20140913-1+b1
2017-01-16 18:04:08 status unpacked libncursesw5:amd64 5.9+20140913-1+b1
2017-01-16 18:04:08 status unpacked libncursesw5:amd64 5.9+20140913-1+b1
2017-01-16 18:04:09 install libtinfo5:amd64 <none> 5.9+20140913-1+b1
2017-01-16 18:04:09 status half-installed libtinfo5:amd64 5.9+20140913-1+b1
2017-01-16 18:04:09 status unpacked libtinfo5:amd64 5.9+20140913-1+b1
2017-01-16 18:04:09 status unpacked libtinfo5:amd64 5.9+20140913-1+b1
2017-01-16 18:04:09 install ncurses-base:all <none> 5.9+20140913-1
2017-01-16 18:04:09 status half-installed ncurses-base:all 5.9+20140913-1
2017-01-16 18:04:10 status unpacked ncurses-base:all 5.9+20140913-1
2017-01-16 18:04:10 status unpacked ncurses-base:all 5.9+20140913-1
2017-01-16 18:04:10 install ncurses-bin:amd64 <none> 5.9+20140913-1+b1
2017-01-16 18:04:10 status half-installed ncurses-bin:amd64 5.9+20140913-1+b1
2017-01-16 18:04:11 status unpacked ncurses-bin:amd64 5.9+20140913-1+b1
2017-01-16 18:04:11 status unpacked ncurses-bin:amd64 5.9+20140913-1+b1
2017-01-16 18:04:11 install libpam-modules:amd64 <none> 1.1.8-3.1+deb8u2
2017-01-16 18:04:11 status half-installed libpam-modules:amd64 1.1.8-3.1+deb8u2
2017-01-16 18:04:14 status unpacked libpam-modules:amd64 1.1.8-3.1+deb8u2
2017-01-16 18:04:14 status unpacked libpam-modules:amd64 1.1.8-3.1+deb8u2
2017-01-16 18:04:14 install libpam-modules-bin:amd64 <none> 1.1.8-3.1+deb8u2
2017-01-16 18:04:14 status half-installed libpam-modules-bin:amd64 1.1.8-3.1+deb8u2
2017-01-16 18:04:14 status unpacked libpam-modules-bin:amd64 1.1.8-3.1+deb8u2
2017-01-16 18:04:14 status unpacked libpam-modules-bin:amd64 1.1.8-3.1+deb8u2
2017-01-16 18:04:15 install libpam-runtime:all <none> 1.1.8-3.1+deb8u2
2017-01-16 18:04:15 status half-installed libpam-runtime:all 1.1.8-3.1+deb8u2
2017-01-16 18:04:17 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u2
2017-01-16 18:04:17 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u2
2017-01-16 18:04:17 install libpam0g:amd64 <none> 1.1.8-3.1+deb8u2
2017-01-16 18:04:17 status half-installed libpam0g:amd64 1.1.8-3.1+deb8u2
